Derrick	Mckee	9	7	10	0	10	10	9	0	5	10	87	65	85	95	87	93	83	82	95
Velvet	Medina	8	9	9	10	10	9	9	0	8	10	93	90	77	84	97	85	79	83	130
Suzette	Mercer	9	10	10	10	10	10	10	10	9	10	100	78	82	85	93	94	90	93	142
Willian	Meyers	10	9	9	9	9	10	8	0	0	10	55	57	98	92	93	75	93	76	132
Fidelia	Moore	9	9	9	10	10	10	4	9	8	10	93	67	94	0	35	60	79	97	126
Henry	Moran	8	9	9	0	10	10	7	10	8	10	64	62	95	96	92	98	73	93	128
Myron	Morris	9	8	9	9	10	10	9	10	9	10	95	62	81	94	88	95	83	100	135
Alena	Moyer	9	2	9	10	8	10	9	10	9	10	58	96	88	67	88	95	83	76	150
Romona	Murphy	9	0	9	10	10	10	0	0	0	10	83	68	76	100	87	100	70	88	116
Sheba	Murray	8	9	9	8	10	9	10	10	7	10	90	88	76	87	83	98	83	92	142
Verna	Navarro	8	10	10	10	10	10	10	9	9	10	73	66	81	91	89	99	81	96	145
Tesha	Nielsen	7	6	0	10	10	9	8	10	10	10	67	84	80	89	93	98	93	83	126
Merrie	Orr	10	9	10	10	10	10	10	10	7	10	83	73	89	93	88	95	69	96	122
Pearlene	Palmer	6	0	0	10	9	10	10	8	8	10	68	81	75	89	99	100	70	87	136
Leo	Patton	9	0	10	10	0	9	9	10	9	10	61	75	92	0	87	100	83	98	136
Deangelo	Pugh	10	5	8	0	10	9	9	10	8	10	81	77	84	95	82	100	78	78	131
Orville	Ramirez	10	0	9	10	10	10	9	8	7	10	62	94	90	93	88	95	81	92	127
Ethelyn	Raymond	6	7	10	9	10	9	8	8	8	10	55	84	85	99	92	95	66	75	90
Alejandro	Riley	7	7	9	9	10	8	10	10	7	10	98	60	98	83	70	80	79	92	131
Emilio	Robbins	7	8	10	10	10	10	6	10	10	10	60	69	81	94	94	98	58	100	126
Shona	Roberson	8	10	9	10	10	9	9	8	10	10	68	62	76	90	94	95	82	82	130
Zola	Sanders	9	5	9	9	10	9	3	9	7	10	76	76	77	77	67	25	53	90	113
Tameika	Savage	6	0	5	5	3	7	8	0	5	10	55	55	83	0	67	90	63	91	113
Miguel	Sharp	10	10	10	10	10	10	10	10	9	10	95	58	78	99	84	94	79	97	129
Hannelore	Shepherd	9	9	8	9	10	10	9	8	8	10	71	62	77	92	71	88	83	98	139
Lorie	Soto	9	8	10	10	10	10	9	9	9	10	62	78	89	100	88	100	82	79	136
Felicidad	Stout	9	8	9	9	9	0	10	0	7	10	97	90	77	92	60	94	68	98	131
Andrew	Tate	8	0	0	10	10	5	0	0	0	10	67	94	93	78	59	90	64	83	123
Mohammad	Travis	7	7	10	10	10	10	8	8	5	10	72	66	84	73	59	90	71	95	119
Shanelle	Walsh	8	0	9	10	10	10	9	9	8	10	91	80	94	96	94	100	84	93	122
Joycelyn	Ward	9	9	8	9	10	10	9	10	10	10	71	76	100	96	94	50	48	97	65
Matthew	Wise	9	2	9	10	8	9	10	10	8	10	86	94	81	96	94	88	83	81	123
Dalene	Yoder	9	10	10	9	10	10	9	8	8	10	76	90	81	92	100	88	100	76	139
